brand,name,tag,sex,price,size,view,buy,like,review,url
킨,재스퍼 스니커즈 Beige,"['킨스니커즈', '킨재스퍼', '킨신발', '등산화', '트래킹화', '고프코어신발', 'LF스니베', '고프코어', '젠더리스']",,"151,000원","['220', '230', '235', '240', '245', '265', '270']",7.5만 회 이상,4.4천 개 이상,"12,037","1,526",https://www.musinsa.com/app/goods/3046006
살로몬 스포츠스타일,[무료반품] XT-6 GTX - 블루 프린트:헤더:화이트 / L47291900,"['XT-6', '스니커즈', '런닝화', '트래킹화', '퀵레이스', '데일리', '고어텍스화', 'XT-6고어텍스', 'GTX', 'XT-6GTX']","남성, 여성","280,000원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '295(2개남음)']",2.9천 회 이상,100 개 이상,585,59,https://www.musinsa.com/app/goods/3640083
디스커버리 익스페디션,버킷 디워커 V2 COOL (D/BEIGE),"['디스커버리', '버킷디워커', '어글리슈즈', '커플운동화', '디스커버리운동화', '키높이운동화', '여름운동화']","남성, 여성","83,400원","['225', '230', '235', '240', '245', '250', '270', '275(4개남음)', '280']",2.8천 회 이상,250 개 이상,"2,141",442,https://www.musinsa.com/app/goods/1363091
리복,클럽 C 85 빈티지 - 레트로 화이트 / IE4790,"['클럽C', '스니커즈', '운동화', '헤리티지', '클럽C85', '젠더리스']","남성, 여성","109,000원","['230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '300']",1.3만 회 이상,5.7천 개 이상,"17,328","1,595",https://www.musinsa.com/app/goods/3033248
컨버스,척70 빈티지 캔버스 A05584C,"['캐주얼운동화', '캔버스화', '스니커즈', '캔버스', '캔버스운동화', '척70', '시즈널컬러', 'NEWARRIVAL']",,"69,300원","['220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290', '300(5개남음)']",4.0천 회 이상,150 개 이상,"1,311",51,https://www.musinsa.com/app/goods/3526792
오니츠카타이거,멕시코 66 VIN SD 1183C015_200,['멕시코66VINSD'],"남성, 여성","240,000원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285(4개남음)', '290(5개남음)']",9.2천 회 이상,650 개 이상,"6,466",288,https://www.musinsa.com/app/goods/2682873
그라퍼리즈,아케이드 슈즈 - 에크루/블랙,"['아사히덱슈즈', '반스운동화', '스니커즈', '운동화', '아케이드슈즈', '캔버스화', '커플신발']","남성, 여성","119,000원","['230', '240', '250(2개남음)', '260', '270', '280']",2.5천 회 이상,450 개 이상,"2,816",343,https://www.musinsa.com/app/goods/2030743
식스핏,[무료반품] 5IN OG HI - 독일군 스니커즈 키높이 버전,"['스탠다드', '남성스니커즈', '독일군', '브랜드위크', '베스트인기상품', '스니커즈추천', '키높이', '키높이스니커즈']",남성,"78,000원","['250', '255', '260', '265', '270', '280', '285', '290']",1.4만 회 이상,6.8천 개 이상,"15,672","6,387",https://www.musinsa.com/app/goods/1955217
이피티,[무료반품] COURT (C-WHITE),"['스니커즈', '캐주얼', '운동화', '코트', '코트화', '코트스니커즈']","남성, 여성","129,000원","['220', '225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280(4개남음)', '290(4개남음)', '300']",2.4천 회 이상,450 개 이상,"3,727",330,https://www.musinsa.com/app/goods/2686988
엠엘비,[무료반품] 빅볼청키 A (BIGBALL CHUNKY A) NY (Ivory),"['뉴욕양키스', '빅볼청키', '어글리슈즈', '엠엘비운동화', '청키슈즈', '청키']","남성, 여성","95,000원","['235', '240', '245', '250', '230', '265', '270', '280']",6.7천 회 이상,2.6천 개 이상,"40,273","9,853",https://www.musinsa.com/app/goods/922322
디스커버리 익스페디션,[무료반품] 버킷 디워커 V2 (O/WHITE),"['버킷디워커', '어글리슈즈', '버킷운동화', '커플운동화', '디스커버리운동화', '키높이운동화']","남성, 여성","139,000원","['225', '230', '235', '240', '245', '250', '255', '260', '265', '270', '275', '280', '285', '290']",3.5천 회 이상,750 개 이상,"16,070","2,923",https://www.musinsa.com/app/goods/1237202
슈펜,슈펜 x 비슬로우 베이직 화이트 스니커즈 BYSS79A61,"['콜라보', '화이트', '스니커즈', '데일리', '협업', '코디', '브랜드위크', '슈펜×비슬로우']",남성,"24,950원","[{'화이트(품절)': []}, {'블랙': ['255(4개 남음)', '265']}]",2.6천 회 이상,300 개 이상,"4,525","1,280",https://www.musinsa.com/app/goods/1569259
뉴발란스,NBP7ES101W / WL574EVW (WOMEN),"['운동화', '운동화추천', '스니커즈', '캐주얼', '발편한신발', '574', '574&996']",여성,"109,000원","[{'(10)WHITE': ['220(3개 남음)', '225', '230', '235', '240', '245', '250']}]",1.6천 회 이상,1.2천 개 이상,"7,960",570,https://www.musinsa.com/app/goods/2268512
반스,올드스쿨 - (스웨이드) 마쉬멜로우:블랙 / VN0A7Q2JKIG1,"['올드스쿨', '스웨이드스니커즈', '스웨이드운동화', '반스스웨이드']","남성, 여성","64,900원","['215(5개남음)', '225(마지막1개)', '245(4개남음)', '295(2개남음)']",3.0천 회 이상,2.4천 개 이상,"8,490",871,https://www.musinsa.com/app/goods/2839680
아디다스,캠퍼스 00s - 크림:그린 / GY0038,"['캠퍼스00S', '스니커즈', '스웨이드', '신발', 'CAMPUS']","남성, 여성","102,900원","['270', '275', '280']",8.5천 회 이상,800 개 이상,"5,117",155,https://www.musinsa.com/app/goods/3178209
뉴발란스,NBPDDF706B / MR530BMS (BLACK),['MR530'],,"149,000원","[{'(19)BLACK': ['220', '225']}]",1.4만 회 이상,350 개 이상,"2,154",142,https://www.musinsa.com/app/goods/3724089
